age,annual_income,credit_score,years_employed,education_level,employment_type,requested_loan_amount
25,64880.76541298322,807,26,Master,Full-time,88469.10793371542
44,18173.71008248186,697,25,High School,Full-time,54411.0564260874
44,62732.629688256304,419,18,High School,Self-employed,55122.45408894185
51,45098.60763367327,736,27,Bachelor,Part-time,74520.3717933435
38,32336.855098070457,764,16,High School,Full-time,66297.86129656826
47,37028.962878812585,585,19,Bachelor,Unemployed,46234.60358177321
50,66037.14664080333,564,39,Master,Part-time,99756.19253582961
45,55480.11570171143,619,38,Bachelor,Self-employed,88249.16518498448
64,51006.13045510641,675,22,Master,Full-time,71796.22315612038
50,54869.914776157995,388,31,Bachelor,Full-time,72768.81301494314
22,68561.95553232387,502,32,High School,Full-time,89386.8569237603
77,48058.00865193354,633,4,Master,Part-time,54421.135818522074
78,51086.37772908473,521,33,Bachelor,Full-time,79119.97880108352
65,72763.4148027561,340,39,Bachelor,Full-time,78482.47456314875
36,43368.26751473683,367,10,High School,Full-time,40652.851487586304
21,62362.81190561363,813,2,High School,Full-time,58979.866351659584
52,39925.91038653717,426,32,PhD,Part-time,61147.21315738844
66,41682.65317176431,554,10,High School,Full-time,46769.7254530318
34,47919.004864007264,315,15,PhD,Full-time,38372.92163748726
61,60305.45705973531,776,17,PhD,Part-time,73512.27986449547
45,73883.63925102138,361,29,Master,Unemployed,60791.75388917448
47,51930.9052707755,731,9,Bachelor,Part-time,62083.8542019512
46,20003.261773529113,567,17,Bachelor,Self-employed,51169.32549184703
63,62628.92587067875,334,37,Master,Part-time,73223.35425313706
70,99076.84348291418,793,18,High School,Full-time,84762.39519477429
23,52173.37662134701,768,35,Bachelor,Full-time,104436.3148373066
52,15824.647216408412,624,12,Bachelor,Part-time,54747.97366582409
77,53393.05778941703,603,2,Bachelor,Part-time,41945.20483640149
58,49939.74793632321,575,9,Bachelor,Part-time,53896.26481803145
54,48257.82313275221,500,37,Bachelor,Full-time,73437.31622513905
41,68908.19799954265,744,0,Bachelor,Full-time,52800.060766325725
46,77565.49572671448,623,26,Master,Full-time,73719.28836239467
66,63671.71490402166,334,7,High School,Full-time,44962.59792500277
63,47338.83830657863,781,16,PhD,Full-time,65844.75031662572
70,72513.57568739259,779,8,Bachelor,Self-employed,73543.2028263438
48,20123.407175715187,364,5,Master,Full-time,34205.93322536675
52,35678.87758532011,307,24,Bachelor,Full-time,56923.23520165328
77,37907.444427965405,600,38,Master,Full-time,75110.2994980191
50,49380.98704136131,642,27,High School,Part-time,76291.12416586844
69,60134.69324973675,730,32,Master,Full-time,89702.67905813252
78,45985.74103325432,723,36,High School,Full-time,83574.83143445647
38,31879.284109954504,631,8,Master,Full-time,45254.925446021974
49,69497.0056939226,737,17,PhD,Full-time,82746.70503705664
40,45290.86555590612,473,20,High School,Self-employed,58374.73904543211
50,52042.57841742067,826,1,High School,Self-employed,61092.61227878489
20,61021.35490951816,325,37,Master,Full-time,67446.02641371581
35,50777.55215845894,705,39,High School,Full-time,83386.84331492672
42,50865.433894885806,531,35,Master,Part-time,73962.38129600519
59,70609.4684087166,832,36,High School,Full-time,98162.73358566499
48,53027.38949140753,849,14,High School,Full-time,67037.11681333551
71,67255.93971580979,804,27,PhD,Full-time,87327.55787149102
75,60893.34888636779,478,17,Bachelor,Self-employed,50725.47872556784
20,90337.75088373832,431,33,Master,Full-time,76051.08815277214
57,58188.26835738261,754,21,Bachelor,Full-time,79511.03674859916
63,62759.46540301546,647,10,Bachelor,Part-time,64196.792222294105
41,72033.13427992736,839,12,Bachelor,Full-time,73600.55645704389
67,51272.355199003396,705,3,Bachelor,Full-time,48542.885014316256
49,37242.93806541118,375,21,Bachelor,Unemployed,45785.8636619933
64,40517.08837753086,791,6,Bachelor,Full-time,55838.78528355269
39,40709.86148995024,493,23,Bachelor,Part-time,63085.55090521153
40,30993.380636065634,461,3,High School,Full-time,39989.24264754131
19,56356.10338403768,646,27,Master,Full-time,73724.17233780146
44,37409.66903901832,660,14,High School,Full-time,52455.43858178158
59,53897.05642403694,386,0,Bachelor,Full-time,36808.33511654275
19,46826.51112578728,561,2,High School,Full-time,39980.27848460693
43,49167.5701341497,513,13,Bachelor,Self-employed,50809.0078459389
34,61121.132956577116,561,37,Master,Full-time,90012.72033915832
57,39162.017512229046,582,0,High School,Full-time,44984.182396497556
50,62777.820918735466,766,37,High School,Full-time,94923.2178368779
26,81346.15733277904,679,37,High School,Part-time,88994.2521942701
60,56862.181659035174,661,20,Bachelor,Full-time,71165.63733506385
71,34358.08629455062,748,28,Master,Full-time,81020.71234230282
65,37699.63977320408,740,4,High School,Full-time,50431.72360313355
56,45034.74198429769,392,9,Master,Full-time,48865.99304522288
46,38102.194058608686,723,27,Bachelor,Full-time,81044.38466517364
59,30176.393807799006,441,20,Bachelor,Self-employed,59421.58230305707
72,53088.14553923384,590,6,PhD,Full-time,52952.659294426914
43,45576.05336548402,731,2,Bachelor,Full-time,55159.77450867527
52,53794.417671161165,348,19,Bachelor,Full-time,59609.2617430038
67,73727.74824430575,601,18,High School,Self-employed,72405.2941586366
42,45272.943321512816,489,34,High School,Full-time,69525.71245750278
41,26291.599906393778,435,3,High School,Full-time,30394.765789278827
30,42022.150154928975,703,4,High School,Full-time,52949.419815347384
77,65408.504342332846,640,0,Bachelor,Full-time,45169.74419296876
75,63535.4054143391,617,3,Bachelor,Full-time,52194.327047480765
24,60372.79295227134,662,11,Bachelor,Full-time,67694.57347683267
74,37505.865536757934,681,26,High School,Full-time,60345.49040520097
53,65038.052360653965,532,22,High School,Full-time,75783.82621716877
62,69537.98156074132,643,24,Bachelor,Full-time,82623.2655617382
37,36091.56740220048,848,20,PhD,Full-time,70928.64714150777
18,49168.59804914951,828,23,High School,Full-time,81867.5335541039
25,90408.03927364224,482,24,Master,Part-time,75238.15041662431
63,35202.51447073225,340,31,Bachelor,Unemployed,64710.70618341309
33,15898.266615125503,696,31,Bachelor,Unemployed,75482.89569838736
31,77658.08868929598,793,4,Bachelor,Self-employed,59947.07299087375
29,72732.0954340912,632,35,High School,Part-time,91355.94069754824
68,40860.6535284515,426,38,High School,Part-time,70530.05679031921
40,47740.16436263827,300,15,Bachelor,Full-time,44736.212161381976
32,25501.298996220954,467,32,Bachelor,Part-time,59359.530194017214
45,51779.04545219404,318,20,PhD,Full-time,60174.39898126239
51,73318.27430742802,631,8,Bachelor,Full-time,66745.79139174128
19,39147.90316483444,755,5,High School,Part-time,50795.51512958549
49,67542.03957572585,408,34,Master,Full-time,67989.55883816659
40,59274.47714780864,567,38,High School,Full-time,82203.97998945335
39,61556.33781762279,744,21,Bachelor,Self-employed,78839.41457574337
68,40313.81638827264,539,4,Bachelor,Full-time,44245.1741362129
42,42907.51634133011,600,22,PhD,Full-time,71137.91902624026
75,13064.551310571966,402,16,Master,Self-employed,43968.96400407585
79,38666.611749797885,549,11,Bachelor,Part-time,54897.8286537039
78,73269.70916062518,752,22,Bachelor,Full-time,83215.18975123974
39,31413.35611795453,819,15,PhD,Full-time,58427.51318433141
75,34393.9669228619,452,2,High School,Full-time,33939.69742112406
75,62803.79647414248,473,29,High School,Self-employed,76791.58764178607
39,58055.36583986187,642,21,High School,Full-time,70258.99510933533
66,63797.26499592601,730,8,High School,Full-time,66154.63134189653
69,26735.589198191923,623,28,Bachelor,Full-time,65576.93518322692
59,101281.15898600692,719,36,Bachelor,Full-time,97185.28845309286
23,25684.932516654993,784,22,Bachelor,Unemployed,68288.75943476595
32,53084.94627468136,711,12,High School,Full-time,65020.72109756767
71,46826.89008262827,383,31,Master,Part-time,60919.628427481264
60,26267.16965269905,412,22,Bachelor,Full-time,49301.59467152637
77,42595.811543735006,631,16,Bachelor,Part-time,55631.42725319059
54,50466.152017717395,677,39,Bachelor,Self-employed,93586.0701931357
50,37000.5357627306,340,20,Bachelor,Full-time,46627.88194087901
25,68744.47243069699,404,1,High School,Full-time,49087.11945484001
70,46767.485090750575,501,36,High School,Full-time,82723.98477992971
77,23174.506579634268,749,5,Master,Part-time,48997.12215028157
61,21477.48934661406,565,17,PhD,Full-time,46651.00314124747
61,62123.301812229125,509,29,Bachelor,Self-employed,62657.50115500206
22,20264.584345993277,417,21,High School,Part-time,40569.18993866403
56,56328.521460981676,676,32,Bachelor,Self-employed,75829.38231380121
21,58893.10371333918,839,29,Master,Part-time,95510.27925130927
23,30092.89272151966,383,16,Master,Full-time,44756.990752590624
62,67814.76167549781,753,31,High School,Full-time,90942.45112310929
49,15644.127524767355,813,13,High School,Full-time,47241.133212754576
69,55929.17867997117,686,9,Master,Self-employed,54088.921457905046
47,49182.84132807983,649,35,Bachelor,Part-time,86640.25128065539
64,47620.040485382124,595,33,High School,Part-time,78469.88270752756
52,26442.067140388546,557,8,High School,Full-time,43046.593748688574
72,31259.559912001485,380,27,Bachelor,Full-time,58202.079766601055
57,82376.04050041195,567,10,Master,Part-time,71241.80118080266
69,74303.10017743507,718,13,PhD,Full-time,70085.71773554527
33,64841.69177047597,534,38,Bachelor,Full-time,84499.35654443315
30,68796.96207059376,610,18,Bachelor,Part-time,70102.07321483464
67,66920.27089342538,656,14,High School,Full-time,78836.62944439758
77,43532.875754275825,512,27,Bachelor,Full-time,55163.08140418762
59,50952.07103628702,348,23,Bachelor,Full-time,59101.73638483015
47,20549.832439179823,426,7,Bachelor,Full-time,33890.93848795863
36,48206.08746384948,522,8,Bachelor,Unemployed,51395.68487007574
34,73668.28499078374,578,32,High School,Full-time,79713.62272726149
73,36785.85503485729,707,32,High School,Full-time,78140.93135616493
36,70462.82409374452,804,18,Bachelor,Full-time,82895.90012545083
45,51831.71477387526,593,2,High School,Part-time,62764.06543738178
75,22292.562686605354,576,9,High School,Full-time,48527.94975299196
72,27853.60973307377,737,39,PhD,Full-time,79965.7549297696
43,68386.0573941551,406,0,Bachelor,Full-time,38697.01880813301
54,61050.481705167695,719,28,Bachelor,Full-time,79998.07396963105
43,52035.28145975251,728,33,Master,Full-time,76032.36857477567
70,44519.36371504109,674,12,PhD,Self-employed,57405.35815600514
79,54211.35955257171,372,0,Bachelor,Self-employed,38527.553274880236
40,67605.92498506498,329,33,Master,Full-time,63360.616900135516
26,79517.0656097457,487,28,Bachelor,Full-time,81447.53293817668
29,80473.68398881209,663,12,Bachelor,Self-employed,71730.97930206532
70,57439.19801516996,750,28,Bachelor,Full-time,79060.5927946958
18,46561.36619270959,494,38,Bachelor,Self-employed,75960.76167112363
75,52924.960156377114,455,23,Bachelor,Full-time,69619.0970851183
75,60442.40714510159,471,25,Bachelor,Self-employed,70350.46121105981
18,60361.33887690183,340,16,High School,Part-time,51152.31993756128
64,76159.7327428021,362,6,Bachelor,Self-employed,45759.50323803571
51,92315.1144383331,322,12,High School,Part-time,56177.57968375823
49,45894.907407718274,659,4,Bachelor,Full-time,48159.654432603966
79,93117.69817648924,374,25,Bachelor,Self-employed,61111.56192435169
71,73444.78493516787,417,2,Master,Full-time,55094.32503322401
65,47983.54019629584,679,6,Master,Full-time,55121.68705488576
42,79971.2967773016,589,38,Master,Part-time,93432.12535880317
57,83712.96602838329,739,0,Bachelor,Part-time,61774.351059130444
62,40794.09111612306,306,16,Master,Self-employed,39862.64333121398
70,84644.30504971296,495,24,Bachelor,Full-time,73213.66911017003
18,71501.65642071927,720,2,High School,Part-time,51453.52311524423
33,97371.18255958383,492,14,High School,Part-time,79196.78725814167
78,41519.22836001002,447,28,High School,Full-time,56633.20851589103
56,42931.46512528008,501,31,Bachelor,Full-time,63769.60811834813
22,9466.757405133198,743,25,Bachelor,Full-time,62788.73119960796
39,61423.87841135924,718,15,Master,Full-time,75767.54214766965
46,57505.025112374366,726,24,High School,Unemployed,77624.05253002558
72,38740.126569286665,778,27,High School,Part-time,71341.35899063369
20,48362.98537023884,774,8,PhD,Part-time,67480.58741485835
29,23775.579796497695,425,0,High School,Unemployed,32037.677072876715
43,73968.89905663372,694,28,Bachelor,Full-time,87582.84450307238
33,40206.0105094338,624,21,Bachelor,Self-employed,67840.47435868434
68,111880.98031241902,691,15,Bachelor,Full-time,95086.10359663796
54,46487.97398577935,739,6,High School,Self-employed,67821.86667091436
39,34807.623179033806,503,13,High School,Full-time,45158.71023869367
74,41753.73762530276,785,28,High School,Self-employed,87895.54625164659
46,21760.780469114972,330,18,Bachelor,Full-time,42944.075089529
31,59645.437814058845,687,18,Bachelor,Full-time,72739.11042490641
45,41602.006004417555,733,1,High School,Part-time,41669.247643108625
22,72625.05580795475,675,14,Bachelor,Full-time,68685.58791544545
64,44505.05009651165,643,2,Master,Part-time,43437.39707727067
66,77688.84223371293,742,10,High School,Full-time,74546.94674458043
47,65149.11498634082,374,29,Bachelor,Part-time,72600.13699791627
63,50571.93553436688,454,39,Bachelor,Full-time,66499.1489052285
79,81604.65174701643,729,17,High School,Full-time,77821.22120408357
69,69045.86922074419,662,1,Bachelor,Full-time,60423.068290194526
22,108924.2565332645,747,31,Bachelor,Full-time,100093.88214841213
29,41810.89510043591,533,7,Master,Full-time,49838.58675514259
33,51532.32210916921,561,21,Master,Full-time,66265.52397088618
43,81374.1802202186,424,5,Bachelor,Full-time,52320.55522582871
43,19129.243763297753,544,11,Master,Full-time,42582.19823864784
65,76338.87126465124,841,39,Bachelor,Full-time,97868.75735871683
38,58786.055153629415,784,35,Bachelor,Self-employed,86228.16580896369
56,32235.784891055042,421,14,Bachelor,Full-time,48267.4980395931
53,22739.20682897757,424,27,High School,Full-time,55119.053326287685
50,36550.21053739432,848,17,Master,Part-time,69672.50193818216
79,4303.608553488557,469,1,Bachelor,Full-time,23621.632354434805
47,40209.211126169925,423,12,Bachelor,Part-time,43686.81911044722
54,62451.12666685163,334,14,PhD,Full-time,54669.896972496186
40,40473.987180623444,386,19,High School,Full-time,48765.9757448469
75,77766.25402867617,500,28,Bachelor,Full-time,69624.552642095
27,83198.95205450576,668,28,High School,Part-time,90077.94449405259
71,75512.88965251549,376,2,Master,Part-time,42429.48357643106
22,54612.8182052873,358,18,Master,Full-time,52440.82478925007
53,3506.414550270616,730,2,Bachelor,Full-time,47589.81589707873
51,35926.050159347884,799,13,Bachelor,Unemployed,63625.01226105183
69,47159.22946451226,408,39,Bachelor,Full-time,74993.6872049473
48,32122.647009903783,577,3,Master,Full-time,35592.17664647951
27,47209.890490268575,367,10,Bachelor,Self-employed,41414.61988532577
75,82201.34937386759,368,30,Bachelor,Part-time,76108.03503820328
36,17084.469409693636,464,31,PhD,Full-time,51548.47215370188
75,86233.84112238053,788,26,High School,Part-time,92274.37780229271
49,67694.52843508274,604,29,High School,Self-employed,80012.31389374885
18,55364.33616555391,664,1,Bachelor,Full-time,51015.73812760337
73,35727.66888518473,678,8,PhD,Full-time,57804.095158846634
22,32520.99309017149,642,27,Bachelor,Full-time,70528.49050129406
62,17475.645708225205,653,30,High School,Unemployed,75283.05320424978
21,84335.30960628774,715,33,Bachelor,Part-time,89082.64530391614
33,80752.23120148083,408,14,Bachelor,Full-time,59305.292196535986
41,21874.307428334356,796,24,High School,Self-employed,70784.62616045003
33,38947.440101875975,640,35,Bachelor,Full-time,73337.9595617874
72,58662.89538463817,682,7,PhD,Full-time,63480.343625848174
19,44009.81723655584,832,8,Bachelor,Full-time,74426.31170023084
66,11626.504859363646,599,36,Bachelor,Full-time,69352.92108538994
45,36844.54478888623,438,38,Bachelor,Self-employed,73478.4688780347
49,89020.68596040038,658,31,High School,Full-time,91028.79816719676
44,38200.42819171112,798,16,Master,Self-employed,63792.205107977454
37,46730.65326595586,684,34,Bachelor,Full-time,73115.39459077668
41,27096.451519292386,579,36,Bachelor,Full-time,69550.0680403109
29,61755.25970567496,782,18,Bachelor,Unemployed,68666.78600694382
67,52303.03598049167,410,28,Bachelor,Full-time,72711.42118444308
52,35159.60516886043,438,6,Bachelor,Full-time,37872.333081041936
77,23906.8920838515,734,27,High School,Full-time,69142.47097991958
50,78090.86748021751,808,8,Master,Self-employed,76273.02936800428
50,17889.131867178396,572,27,PhD,Full-time,55357.98404587408
78,60076.3139117911,398,5,Bachelor,Full-time,39088.573983514565
68,6922.415105768538,403,28,PhD,Full-time,50567.085877973666
60,64144.23366024765,513,16,High School,Full-time,66037.1150551917
54,69405.97774520122,464,15,Bachelor,Part-time,61530.21854940431
29,71895.67423279826,819,22,Bachelor,Full-time,85760.32798241888
20,46775.830628602635,583,30,Bachelor,Full-time,73573.33786476086
18,81680.07211127391,816,2,Bachelor,Full-time,69305.20091101604
50,96155.83389992136,463,20,Bachelor,Full-time,73005.01469562268
57,43567.53727908074,363,25,High School,Self-employed,51070.399809839546
27,40979.899397401445,390,35,Bachelor,Full-time,67024.36592738618
60,52983.545206898714,416,36,High School,Unemployed,67326.62026748084
61,40446.39708211586,566,21,Master,Full-time,61839.331839138875
46,37522.596079797586,439,11,High School,Full-time,41803.53911649807
30,39265.229195169806,545,12,High School,Self-employed,63726.47687246525
29,84315.1201601249,694,10,Bachelor,Full-time,69795.06412927891
48,65437.639900708644,786,15,Bachelor,Part-time,66910.09413890465
63,40381.077454838174,775,7,Master,Unemployed,57193.42218306683
19,897.4994855542827,816,39,Bachelor,Full-time,82666.04357385573
78,19110.71012787065,483,39,Bachelor,Full-time,77250.03276912382
68,60068.58165203755,319,1,Master,Part-time,32023.312495917668
67,7568.88117222365,823,29,Bachelor,Full-time,64508.524481548906
52,55859.870549039115,828,29,High School,Full-time,91242.14622186664
40,28688.72550269949,446,11,Bachelor,Full-time,35003.624121311586
34,51836.11549161347,603,9,PhD,Full-time,52520.05743994661
43,51277.126026682854,527,10,Bachelor,Part-time,50445.03538044989
25,52411.798677814215,401,14,High School,Full-time,49425.37233684373
46,42111.56305842959,716,15,High School,Full-time,66879.29120290055
43,41454.28748784536,515,16,High School,Part-time,50768.11483492167
27,35584.191621271224,706,25,Bachelor,Full-time,69606.61122554756
43,59677.8463448378,698,1,Bachelor,Full-time,53732.002138704396
79,66103.85349561897,798,11,High School,Part-time,71479.14583627963
51,25620.549549277475,764,25,PhD,Full-time,71375.30073832284
68,48967.43055415461,381,22,Master,Part-time,57920.25804235928
58,53931.64146975476,664,17,Bachelor,Self-employed,70598.68998913512
24,53675.422692460845,462,31,Master,Full-time,72165.7973859931
21,53335.392391930356,347,37,High School,Full-time,72618.5453351252
75,41959.30379309551,810,2,Bachelor,Full-time,47176.675304196266
70,55580.608509250786,628,37,Bachelor,Full-time,85325.32104860364
67,62360.5742196724,415,2,Master,Self-employed,43855.710005909765
62,52820.73311645129,636,29,Master,Self-employed,80290.92590778765
28,60118.79673067448,446,0,High School,Full-time,36873.88514803337
46,69807.06822075014,622,29,PhD,Part-time,77746.92409178181
73,12981.192842094642,742,31,High School,Self-employed,69123.8544762104
53,68869.27683730735,312,27,Master,Unemployed,65942.85255064892
42,56848.55530442549,793,20,PhD,Full-time,81873.97186594868
38,27767.493445225467,586,12,High School,Full-time,47592.94749710963
78,66049.41764639378,413,26,Master,Full-time,71004.63686205339
74,42033.58187952077,779,35,High School,Unemployed,87177.4736096792
53,44760.67127362894,321,6,Bachelor,Full-time,34856.7724962765
27,39846.40435068676,648,21,Bachelor,Full-time,64297.000156116184
54,56047.97688476449,619,9,Bachelor,Full-time,60497.44988844014
26,34292.93714975894,425,38,PhD,Full-time,71165.77022886304
41,68029.49259895572,576,14,Bachelor,Full-time,74587.9749179249
52,47222.74825610657,503,14,Bachelor,Unemployed,49055.70126184535
66,42715.95033024125,493,3,Master,Full-time,43055.29360922225
52,65057.5135522794,846,31,PhD,Full-time,90171.24901662626
65,43608.864753618385,585,22,High School,Full-time,59986.2244911423
53,68963.53650724603,356,5,PhD,Full-time,43434.72526699895
35,69591.85901681731,602,23,High School,Full-time,74664.32010208038
66,23303.92323562046,462,19,Master,Full-time,63682.0447459866
56,72185.20404445849,318,36,High School,Full-time,72634.83213492153
49,20759.280569962288,669,19,High School,Full-time,53026.89052356527
41,73431.61053765021,563,11,Bachelor,Full-time,62544.536748766994
40,90567.14384460478,412,32,Bachelor,Full-time,69396.94296564959
79,67496.68876538263,787,27,Bachelor,Unemployed,86139.22271659346
49,6860.387106006536,626,7,High School,Self-employed,40438.24254327776
54,71271.31438772037,841,0,Bachelor,Full-time,67404.39623104216
29,94922.57931872024,364,36,PhD,Full-time,87544.88504275531
66,43939.367180039415,591,21,Bachelor,Self-employed,61213.96205947323
72,49305.9335994022,324,5,High School,Full-time,35238.710006671
30,26230.26556147136,848,20,Bachelor,Self-employed,66438.47551538805
40,56241.58837639338,300,31,High School,Self-employed,57232.16373887955
42,75383.54365086259,848,34,Master,Full-time,100564.53699216196
52,63954.74256298908,440,14,Master,Full-time,48818.495025913726
58,112839.33954575597,487,4,Bachelor,Unemployed,60128.667360867476
47,50660.540859315945,427,5,Bachelor,Full-time,36572.2924582986
34,17386.532651694713,500,24,Master,Full-time,56964.37572695972
66,53419.41943136438,426,39,Bachelor,Full-time,85332.97632574175
79,1670.9646957502046,556,28,Master,Full-time,49793.349494708404
37,39337.92150270972,846,6,Bachelor,Part-time,50836.28403632507
65,82487.64117200424,493,39,Master,Part-time,87771.85792485093
42,56502.672972635424,403,12,Bachelor,Unemployed,49179.290871579426
39,53588.33625662538,834,37,Bachelor,Full-time,95869.7974107741
30,86415.60753430713,564,17,PhD,Full-time,68893.07968412043
76,44588.0021667326,683,1,Bachelor,Full-time,47523.20415589262
36,75236.40825868218,559,7,Bachelor,Full-time,59358.474530307656
66,52586.139503326805,713,10,High School,Full-time,66627.99631422224
53,57600.94926918052,657,32,Bachelor,Unemployed,72355.04092916274
29,25653.90288273974,374,37,Bachelor,Self-employed,61551.47366966461
78,40359.06410343567,654,26,High School,Full-time,71876.76320073602
58,22049.63534312253,487,19,High School,Part-time,45375.010079883075
36,48095.0984354931,589,11,Bachelor,Full-time,63534.37768948443
29,57808.04687832534,344,30,Master,Full-time,61365.36466235392
26,27799.23789817096,382,26,Bachelor,Part-time,53233.30793441487
24,90983.57845369646,422,31,High School,Full-time,82175.1840203204
45,55562.12038183922,657,9,Bachelor,Unemployed,55562.21217054229
31,51155.911711704386,827,2,High School,Part-time,49463.90827448924
48,65393.1550269125,365,26,Bachelor,Full-time,61724.67387349108
69,33421.43838268156,674,34,High School,Part-time,82873.63429443967
36,53269.549583349064,461,30,High School,Full-time,67346.38924107901
75,35662.67559284817,679,14,High School,Full-time,54416.63117055956
64,81173.59820177965,657,15,Bachelor,Full-time,76830.4405080475
33,28827.21301205837,487,12,High School,Full-time,43344.28942350225
70,51263.30918614347,621,34,Bachelor,Part-time,77878.18868759194
22,56586.315703035514,749,10,Bachelor,Full-time,65173.1751592272
52,57896.51488815403,773,20,Bachelor,Part-time,79872.70551454015
29,38375.296538343355,312,10,Bachelor,Full-time,49021.15662016573
42,32089.811957098045,483,29,Master,Full-time,66913.12412541652
69,38664.09653907802,410,34,High School,Self-employed,71898.42879366512
76,60566.50868420565,807,21,Bachelor,Full-time,76990.12161032243
38,47123.084581760726,589,37,High School,Full-time,75457.58484468084
53,65924.17616905044,594,30,High School,Full-time,79788.90959881074
70,59540.07438790146,750,13,Bachelor,Full-time,68897.87189266842
40,4461.746038007848,514,23,Bachelor,Full-time,44645.96010457937
33,54949.95593674422,326,31,Master,Part-time,62908.5141315032
74,95009.0953563254,530,35,Bachelor,Full-time,91999.31661549328
56,76505.38102076662,620,31,PhD,Full-time,86753.58128132038
62,58440.26321413937,532,14,High School,Unemployed,60653.51823116317
70,28812.15739060112,736,34,High School,Full-time,80898.47086786755
59,59551.07432251292,832,2,High School,Self-employed,58930.27900040359
75,64794.99879756518,702,15,High School,Full-time,66968.99650602533
56,44925.06638344832,352,4,Bachelor,Full-time,29082.76292506512
31,56334.841176088754,612,20,Bachelor,Self-employed,76424.3275487521
48,80193.24916792082,580,9,High School,Full-time,62125.22657347271
75,32854.511605165484,330,18,PhD,Part-time,43232.08820257539
22,28834.00790081746,636,24,Master,Full-time,59806.24196298295
52,63853.98651988425,482,3,High School,Full-time,60934.485467604165
40,59150.85272396161,322,28,High School,Full-time,56478.615656074006
46,70576.76590825623,843,18,High School,Full-time,79178.79014444651
60,61395.87623807539,745,1,High School,Self-employed,58747.94705285292
28,38644.89873651612,373,9,High School,Full-time,42244.534449676226
35,58643.8530293081,309,24,Bachelor,Unemployed,61832.81618487085
64,27157.469134076528,783,19,High School,Unemployed,75335.28327906928
29,44993.625765340126,755,18,Bachelor,Full-time,71778.8760069056
26,60055.98461932808,459,22,PhD,Full-time,57686.641385965086
27,42789.715665522206,313,23,Bachelor,Self-employed,50202.189074047754
75,99361.04364459653,477,10,PhD,Unemployed,65197.47495594838
61,12156.315023526666,711,33,High School,Full-time,82538.02471458711
34,39050.19286002379,352,27,Bachelor,Full-time,49326.030465885655
78,31244.403322601793,707,4,Bachelor,Full-time,54736.203522906675
55,35993.02385084093,321,4,High School,Part-time,31747.479002984364
24,37140.03553038243,329,20,High School,Full-time,51781.16333526213
63,23471.586262820136,559,11,Bachelor,Part-time,45481.50229566638
30,65054.042971452545,504,3,Bachelor,Full-time,43504.04974080413
57,39058.09405225798,358,19,Bachelor,Full-time,52371.79211268405
59,53271.46671177309,770,37,Bachelor,Full-time,94753.59514906004
26,41303.4847617951,765,24,Bachelor,Full-time,79501.33025723713
67,36182.391754275806,311,13,High School,Full-time,39338.19434938957
44,83445.58472173699,589,10,Bachelor,Full-time,61484.56529992185
75,68458.64364418815,653,31,High School,Full-time,76393.65811813723
19,12635.992000897102,374,10,High School,Full-time,36587.66394096616
22,10517.251033282264,740,17,PhD,Full-time,59274.622722204615
46,70852.17671272974,540,26,Bachelor,Unemployed,69426.73984949914
54,39602.93216902492,453,17,Master,Full-time,48838.011284224354
55,17018.353321315546,395,22,Bachelor,Full-time,44521.71193663746
36,70914.70265080682,593,10,Bachelor,Full-time,53509.48863532995
25,53382.4810019818,508,20,High School,Unemployed,57326.33231756887
65,55031.421696646394,642,4,High School,Full-time,46940.274724962146
62,66190.78544011815,387,22,High School,Part-time,59144.840572595764
18,23800.456834352128,689,24,Master,Part-time,61896.649558657824
39,17369.98357231671,624,9,Bachelor,Part-time,37275.970467361265
69,81619.08589806405,456,21,Bachelor,Full-time,78398.67692226662
34,21256.664785154153,436,18,Bachelor,Part-time,52439.703090692405
24,25555.24405848872,727,0,PhD,Full-time,40121.47610994669
42,29551.29240908468,751,6,High School,Full-time,53777.49470599346
62,91598.91847381045,440,3,High School,Part-time,54567.0009912496
21,59867.66600823045,382,0,Bachelor,Full-time,43015.729076336516
53,69308.1594887076,476,14,Master,Self-employed,54499.42271331189
23,53923.35091157457,497,39,PhD,Full-time,85487.53919338451
77,37962.255775975325,720,11,High School,Self-employed,55649.15021175792
48,62625.82566520336,700,21,Master,Full-time,68108.43567871794
36,18867.68058406393,770,21,Master,Full-time,68780.98697179166
78,28094.330958070102,517,16,High School,Full-time,56732.09140803317
61,64659.50358522962,474,28,Bachelor,Unemployed,84037.3959432223
71,22854.895383464398,322,13,Bachelor,Full-time,29957.84228958825
56,46218.370616762535,534,19,PhD,Full-time,63060.1096104327
44,47129.75311289177,312,32,High School,Full-time,59689.919714899865
27,39426.75993325676,400,14,Master,Part-time,49744.82153259718
43,10977.630503022861,835,11,Bachelor,Full-time,48690.841394750605
36,37421.42217622615,822,39,Master,Full-time,85012.57777437502
56,33500.632461350295,751,19,Bachelor,Full-time,62720.81562257266
79,53228.79726575397,730,29,Bachelor,Full-time,81863.45940806661
20,52209.810773989375,832,37,Master,Full-time,91057.53689950504
62,57559.229198737485,592,2,Master,Full-time,52163.04047918835
30,36480.27454051205,400,27,Master,Part-time,63078.55545344319
67,60455.55900931783,801,25,High School,Full-time,86184.55540902214
45,18879.865344526337,603,29,Bachelor,Full-time,72907.89780166224
79,13561.905346952917,839,12,High School,Full-time,60097.70475136259
75,3288.5455166674437,654,12,Bachelor,Unemployed,39602.08010329939
